앞면,뒷면,메모,학습제외,예문1,예문1_해석
買って返さずにはすまない,사서 돌려주지 않고는 끝나지 않는다.,"문형: [[~ずにはすまない]]
뜻: 그냥 넘어갈 수 없다 / 반드시 ~해야 한다
메모: 사과·변상·처리 등을 하지 않고는 상황이 끝나지 않는다는 [[강한 의무]].
원본파일: N1-1-문형-01.csv
문형카드순번: 10",아니오,買って返さ[[ずにはすまない]],사서 돌려주지 [[않고는 끝나지 않는다]].
スターがやって来るとあって,스타가 온다고 해서,"문형: [[~とあって]]
뜻: ~라고 해서 / ~이므로
원본파일: N1-1-문형-01.csv
문형카드순번: 11",아니오,スターがやって来る[[とあって]],스타가 [[온다고 해서]]
理由のいかんによらず,이유 여하를 막론하고,"문형: [[~いかんによらず]]
뜻: ~여하를 막론하고
메모: 결과가 안 달라지는 쪽. 「いかんにかかわらず」와 [[같은 의미]].
원본파일: N1-1-문형-01.csv
문형카드순번: 12",아니오,理由の[[いかんによらず]],이유 [[여하를 막론하고]]
話すことすら苦しそうだった,말하는 것조차 괴로워 보였다.,"문형: [[~すら]]
뜻: ~조차
원본파일: N1-1-문형-01.csv
문형카드순번: 13",아니오,話すこと[[すら]]苦しそうだった,말하는 것[[조차]] 괴로워 보였다.
子供のためとあれば,아이를 위해서라면,"문형: [[~とあれば]]
뜻: ~라면
원본파일: N1-1-문형-01.csv
문형카드순번: 14",아니오,子供のため[[とあれば]],아이를 위해[[서라면]]
大変つらい思いをする,매우 괴로운 경험을 하다.,"문형: [[~思いをする]]
뜻: ~한 경험을 하다 / ~한 기분을 느끼다
메모: 앞에 오는 형용사와 묶여 감정·경험을 겪는다는 뜻.
원본파일: N1-1-문형-01.csv
문형카드순번: 15",아니오,大変つらい[[思いをする]],매우 괴로운 [[경험을 하다]].
注意されたそばからまた間違った,주의를 받자마자 또 틀렸다.,"문형: [[~そばから]]
뜻: ~하자마자 / ~하는 족족
메모: 바로 뒤이어 반복적으로 일어나는 느낌. 두 예문 모두 같은 용법.
원본파일: N1-1-문형-01.csv
문형카드순번: 16
예문순번: 1/2",아니오,注意された[[そばから]]また間違った,주의를 [[받자마자]] 또 틀렸다.
仕事をかたづけるそばから,일을 처리하는 족족,"문형: [[~そばから]]
뜻: ~하자마자 / ~하는 족족
메모: 바로 뒤이어 반복적으로 일어나는 느낌. 두 예문 모두 같은 용법.
원본파일: N1-1-문형-01.csv
문형카드순번: 16
예문순번: 2/2",아니오,仕事をかたづける[[そばから]],일을 처리하는 [[족족]]
色といいデザインといい,색도 그렇고 디자인도 그렇고,"문형: [[~といい~といい]]
뜻: ~도 그렇고 ~도 그렇고
메모: 두 성질을 나란히 들어 평가하는 반복 문형.
원본파일: N1-1-문형-01.csv
문형카드순번: 17",아니오,色[[といい]]デザイン[[といい]],색[[도 그렇고]] 디자인[[도 그렇고]]
家族たちの看護のかいもなく,가족들의 간호 보람도 없이,"문형: [[~かいもなく]]
뜻: ~한 보람도 없이
원본파일: N1-1-문형-01.csv
문형카드순번: 18",아니오,家族たちの看護の[[かいもなく]],가족들의 간호 [[보람도 없이]]
休日といっても、家にいるというところだ,휴일이라고 해도 집에 있는 정도다.,"문형: [[~というところだ]]
뜻: 기껏해야 ~정도다 / ~라고 할 만한 수준이다
메모: [[상한선]]·대수롭지 않음의 뉘앙스. 「せいぜい〜」와 묶이는 포인트.
원본파일: N1-1-문형-01.csv
문형카드순번: 19",아니오,休日といっても、家にいる[[というところだ]],휴일이라고 해도 집에 있는 [[정도다]].
