앞면,뒷면,메모,학습제외,예문1,예문1_해석
眠くてたまらない,졸려서 견딜 수가 없다.,"문형: [[~てたまらない]]
뜻: ~해서 죽겠다
메모: 감정·욕구·감각이 참을 수 없을 만큼 강함.
원본파일: N3-N2-문형-01.csv
문형카드순번: 11",아니오,眠く[[てたまらない]],졸려서 [[견딜 수가 없다]].
多くの人の予想に反して,많은 사람의 예상과는 달리,"문형: [[~に反して]]
뜻: ~과는 반대로
메모: 예상·기대와 어긋난 결과. 「に反する」도 있음.
원본파일: N3-N2-문형-01.csv
문형카드순번: 12",아니오,多くの人の予想[[に反して]],많은 사람의 예상[[과는 달리]]
副作用の恐れがある,부작용이 생길 우려가 있다.,"문형: [[~おそれがある / ~恐れがある]]
뜻: ~할 우려가 있다
메모: 좋지 않은 일이 일어날 가능성. 恐れがある처럼 한자 표기도 자주 보임.
원본파일: N3-N2-문형-01.csv
문형카드순번: 13",아니오,副作用の[[恐れがある]],부작용이 생길 [[우려가 있다]].
準備があって初めて,준비가 있고 나서야 비로소,"문형: [[~て初めて]]
뜻: ~하고 나서 비로소
메모: 그 경험을 하고 나서야 비로소 알게·되게 됨.
원본파일: N3-N2-문형-01.csv
문형카드순번: 14",아니오,準備があっ[[て初めて]],준비가 있고 [[나서야 비로소]]
一昨年からの不景気によって,재작년부터 이어진 불경기로 인해,"문형: [[~によって]]
뜻: 1) ~에 의해 / ~때문에
2) ~을 통해 / ~에 의해
3) ~에 따라
메모: 같은 표면형의 원인·수단·기준 용법을 한 카드로 묶음. 예문 순서대로 뜻을 구분.
원본파일: N3-N2-문형-01.csv
문형카드순번: 15
예문순번: 1/3",아니오,一昨年からの不景気[[によって]],재작년부터 이어진 불경기[[로 인해]]
アンケート調査によって,설문 조사를 통해,"문형: [[~によって]]
뜻: 1) ~에 의해 / ~때문에
2) ~을 통해 / ~에 의해
3) ~에 따라
메모: 같은 표면형의 원인·수단·기준 용법을 한 카드로 묶음. 예문 순서대로 뜻을 구분.
원본파일: N3-N2-문형-01.csv
문형카드순번: 15
예문순번: 2/3",아니오,アンケート調査[[によって]],설문 조사[[를 통해]]
その日の天候によって,그날의 날씨에 따라,"문형: [[~によって]]
뜻: 1) ~에 의해 / ~때문에
2) ~을 통해 / ~에 의해
3) ~에 따라
메모: 같은 표면형의 원인·수단·기준 용법을 한 카드로 묶음. 예문 순서대로 뜻을 구분.
원본파일: N3-N2-문형-01.csv
문형카드순번: 15
예문순번: 3/3",아니오,その日の天候[[によって]],그날의 날씨[[에 따라]]
夕食を作りかけて,저녁을 만들다가,"문형: [[~かける]]
뜻: ~하다가 (말다)
메모: 동작을 시작했지만 도중에 멈춘 상태. 「~かけの」도 있음.
원본파일: N3-N2-문형-01.csv
문형카드순번: 16",아니오,夕食を作り[[かけて]],저녁을 [[만들다가]]
彼には言わないでほしいのです,그에게는 말하지 말아 줬으면 합니다.,"문형: [[~ないでほしい]]
뜻: ~하지 말아 줬으면 좋겠다
메모: 상대에게 어떤 행동을 하지 말기를 바람.
원본파일: N3-N2-문형-01.csv
문형카드순번: 17",아니오,彼には言わ[[ないでほしい]]のです,그에게는 말[[하지 말아 줬으면]] 합니다.
留守がちだから,집을 비우는 일이 잦으니까,"문형: [[~がち]]
뜻: ~하기 쉽다 / 자주 ~하다
메모: 좋지 않은 경향이나 자주 그런 상태가 됨을 나타내는 경우가 많음.
원본파일: N3-N2-문형-01.csv
문형카드순번: 18",아니오,留守[[がち]]だから,집을 비우는 일이 [[잦으니까]]
