앞면,뒷면,메모,학습제외,예문1,예문1_해석
東京にしても横浜にしても,도쿄든 요코하마든,"문형: [[~にしても~にしても]]
뜻: ~든 ~든
메모: 두 대상을 병렬로 드는 반복 문형.
원본파일: N3-N2-문형-06.csv
문형카드순번: 10",아니오,東京[[にしても]]横浜[[にしても]],도쿄[[든]] 요코하마[[든]]
人類の歴史を通じて,인류의 역사를 통틀어,"문형: [[~を通じて]]
뜻: 1) ~동안 내내 / ~에 걸쳐
2) ~을 통해서
메모: 기간 전체와 매개·수단 용법을 예문으로 구분.
원본파일: N3-N2-문형-06.csv
문형카드순번: 11
예문순번: 1/2",아니오,人類の歴史[[を通じて]],인류의 역사를 [[통틀어]]
共通の友人を通じて知り合った,공통의 친구를 통해 알게 되었다.,"문형: [[~を通じて]]
뜻: 1) ~동안 내내 / ~에 걸쳐
2) ~을 통해서
메모: 기간 전체와 매개·수단 용법을 예문으로 구분.
원본파일: N3-N2-문형-06.csv
문형카드순번: 11
예문순번: 2/2",아니오,共通の友人[[を通じて]]知り合った,공통의 친구[[를 통해]] 알게 되었다.
今のランさんの発言に対して,방금 란 씨의 발언에 대해서,"문형: [[~に対して]]
뜻: 1) ~에 대해서 / ~을 상대로
2) ~에 비해 / ~와 대조적으로
메모: 대상 용법과 대비 용법을 예문으로 구분.
원본파일: N3-N2-문형-06.csv
문형카드순번: 12
예문순번: 1/2",아니오,今のランさんの発言[[に対して]],방금 란 씨의 발언[[에 대해서]]
男性が７８歳であるのに対して,남성이 78세인 데 비해,"문형: [[~に対して]]
뜻: 1) ~에 대해서 / ~을 상대로
2) ~에 비해 / ~와 대조적으로
메모: 대상 용법과 대비 용법을 예문으로 구분.
원본파일: N3-N2-문형-06.csv
문형카드순번: 12
예문순번: 2/2",아니오,男性が７８歳であるの[[に対して]],남성이 78세인 [[데 비해]]
食べたつもりになって,먹은 셈 치고,"문형: [[~つもり]]
뜻: ~하다고 생각하고
메모: 실제는 아니지만 그렇게 여기고 행동함. 「~たつもり」 형태.
원본파일: N3-N2-문형-06.csv
문형카드순번: 13",아니오,食べた[[つもり]]になって,먹은 [[셈 치고]]
卒業を１つの区切りとして,졸업을 하나의 구분점으로 삼아,"문형: [[~を~として]]
뜻: ~을 ~로 해서
메모: 중간 명사는 예문마다 달라지는 자리라 분리하지 않음.
원본파일: N3-N2-문형-06.csv
문형카드순번: 14",아니오,卒業[[を]]１つの区切り[[として]],졸업을 하나의 구분점으[[로 삼아]]
よく洗ってからでないと,잘 씻고 나서가 아니면,"문형: [[~てからでないと]]
뜻: ~하지 않으면
메모: 그 일을 먼저 끝내지 않으면 다음이 안 됨. 「てからでなければ」와 같음.
원본파일: N3-N2-문형-06.csv
문형카드순번: 15",아니오,よく洗っ[[てからでないと]],잘 씻고 [[나서가 아니면]]
旅行にでも行っているに違いない,여행이라도 가 있는 것이 틀림없다.,"문형: [[~に違いない]]
뜻: ~임에 틀림없다
메모: 근거에 비추어 확실히 그러할 것이라는 강한 추측. 「に決まっている」와 유사.
원본파일: N3-N2-문형-06.csv
문형카드순번: 16",아니오,旅行にでも行っている[[に違いない]],여행이라도 가 있는 것이 [[틀림없다]].
北欧の古い歌をもとに(して),북유럽의 오래된 노래를 바탕으로 해서,"문형: [[~をもとに(して)]]
뜻: ~을 가지고, 토대로
메모: 어떤 것을 재료·근거로 삼아. 「に基づいて」와 유사.
원본파일: N3-N2-문형-06.csv
문형카드순번: 17",아니오,北欧の古い歌[[をもとに(して)]],북유럽의 오래된 노래를 [[바탕으로 해서]]
