앞면,뒷면,메모,학습제외,예문1,예문1_해석
ついに死者30人を出すに至った,마침내 사망자 30명을 내기에 이르렀다.,"문형: [[~に至る]]
뜻: ~하기에 이르다
메모: 어떤 과정을 거쳐 결국 그 상태에 도달함.
원본파일: N1-2-문형-03.csv
문형카드순번: 11",아니오,ついに死者30人を出す[[に至った]],마침내 사망자 30명을 [[내기에 이르렀다]].
ひとり日本のみならず,단지 일본뿐만 아니라,"문형: [[~ひとり~のみならず]]
뜻: 단지~뿐만아니라
메모: 「ひとり~のみならず」는 “단지 ~뿐만 아니라”의 격식 표현. 143번과 비슷하지만 표현이 달라 별도 유지.
원본파일: N1-2-문형-03.csv
문형카드순번: 12",아니오,[[ひとり]]日本[[のみならず]],[[단지]] 일본[[뿐만 아니라]]
彼の発言を皮切りに(して),그의 발언을 시작으로,"문형: [[~を皮切りに(して)]]
뜻: ~을 시작으로, 기점으로
메모: 그것을 출발점으로 같은 일이 잇따라 일어남.
원본파일: N1-2-문형-03.csv
문형카드순번: 13",아니오,彼の発言[[を皮切りに(して)]],그의 발언을 [[시작으로]]
過去の借金に至るまで,과거의 빚에 이르기까지,"문형: [[~に至るまで]]
뜻: ~에 이르기까지
메모: 사소한 것까지 빠짐없이 미침을 강조.
원본파일: N1-2-문형-03.csv
문형카드순번: 14",아니오,過去の借金[[に至るまで]],과거의 빚에 [[이르기까지]]
青少年の見るべからざるもの,청소년이 봐서는 안 되는 것,"문형: [[~べからず / ~べからざる]]
뜻: ~해서는 안 된다 / ~해서는 안 되는
메모: べからず는 문장 끝 금지, べからざる는 명사 수식. [[문어체]]·격식체 표현으로 같은 계열.
원본파일: N1-2-문형-03.csv
문형카드순번: 15
예문순번: 1/2",아니오,青少年の見る[[べからざる]]もの,청소년이 [[봐서는 안 되는]] 것
池の魚を取るべからず,연못의 물고기를 잡지 말 것.,"문형: [[~べからず / ~べからざる]]
뜻: ~해서는 안 된다 / ~해서는 안 되는
메모: べからず는 문장 끝 금지, べからざる는 명사 수식. [[문어체]]·격식체 표현으로 같은 계열.
원본파일: N1-2-문형-03.csv
문형카드순번: 15
예문순번: 2/2",아니오,池の魚を取る[[べからず]],연못의 물고기를 [[잡지 말 것]].
県民として怒りを禁じえない,현민으로서 분노를 금할 수 없다.,"문형: [[~を禁じえない]]
뜻: ~을 참을 수 없다
메모: 어떤 감정이 절로 솟구쳐 억누를 수 없음. 격식체.
원본파일: N1-2-문형-03.csv
문형카드순번: 16",아니오,県民として怒り[[を禁じえない]],현민으로서 분노를 [[금할 수 없다]].
事故で命にかかわるけがをした,사고로 생명에 관계되는 부상을 입었다.,"문형: [[~にかかわる]]
뜻: ~에 관련되다 / ~에 영향을 미치다
메모: 생명·명예 등 중대한 것에 직결됨.
원본파일: N1-2-문형-03.csv
문형카드순번: 17",아니오,事故で命[[にかかわる]]けがをした,사고로 생명에 [[관계되는]] 부상을 입었다.
失敗という事実を踏まえて,실패라는 사실을 바탕으로,"문형: [[~を踏まえて]]
뜻: ~을 기반으로
메모: 어떤 사실·근거를 바탕·전제로 삼아.
원본파일: N1-2-문형-03.csv
문형카드순번: 18",아니오,失敗という事実[[を踏まえて]],실패라는 사실을 [[바탕으로]]
母親の病気にかこつけて,어머니의 병을 구실로,"문형: [[~にかこつけて]]
뜻: ~을 구실로
메모: 진짜 목적을 숨기고 다른 일을 핑계 삼음.
원본파일: N1-2-문형-03.csv
문형카드순번: 19",아니오,母親の病気[[にかこつけて]],어머니의 병을 [[구실로]]
